,Team Name,Home,Draw,Away,Result:HT,Result:FT,Result,RedCard?,timestamp,League
,Hoffenheim U19,1.6,4.08,4.34,1_0,2_0,1,,8/17/16 7:00 PM,Germany Amateur A-JUN-BL S/S-W
,Greuther Furth U19,1.79,3.74,3.64,1_0,2_2,3,,8/17/16 7:00 PM,Germany Amateur A-JUN-BL S/S-W
,Hamburger U19,4.16,3.87,1.54,0_1,1_1,3,,8/17/16 7:00 PM,Germany Amateur A-JUN-BL N/N-E
,Hannover U19,1.53,3.76,4.31,3_0,5_0,1,,8/17/16 7:00 PM,Germany Amateur A-JUN-BL N/N-E
,Derbeceni VSC,1.8,3.3,4.12,0_0,0_1,2,,8/17/16 7:00 PM,Hungary NB I
,Zenit - 2 SP,2.1,3.18,3.23,1_1,2_1,1,,8/17/16 7:00 PM,Russian 1st Division
,Shinnik Yaroslavl,1.95,3.03,3.9,1_0,2_1,1,,8/17/16 7:00 PM,Russian 1st Division
,Kuban Krasnodar,1.59,3.53,5.37,1_1,1_1,3,,8/17/16 7:00 PM,Russian 1st Division
,Sokol Saratov,2.48,2.9,2.84,1_1,2_3,2,,8/17/16 7:00 PM,Russian 1st Division
,Fakel,1.74,3.28,4.51,0_0,2_0,1,,8/17/16 7:00 PM,Russian 1st Division
,Dinamo Moscow,1.71,5.63,15.35,0_0,3_2,1,,8/17/16 7:00 PM,Russian 1st Division
,Velke Mezirici,3.22,3.48,1.99,2_0,2_1,1,,8/17/16 6:00 PM,Czech Republic CUP
,All stars FC,1.54,3.39,6.42,0_0,1_1,3,,8/17/16 6:00 PM,Ghana Premeir League
,Techiman,1.43,3.74,7.42,0_1,1_2,2,,8/17/16 6:00 PM,Ghana Premeir League
,Berekum Chelsea,1.38,4.14,7.42,0_0,1_0,1,,8/17/16 6:00 PM,Ghana Premeir League
,Inter Allies,1.43,3.72,7.65,1_1,2_2,3,,8/17/16 6:00 PM,Ghana Premeir League
,Ashanti Gold,1.48,3.67,6.63,1_0,2_0,1,,8/17/16 6:00 PM,Ghana Premeir League
,Bechem UTD,1.84,3.12,4.24,1_0,2_0,1,,8/17/16 6:00 PM,Ghana Premeir League
,Trakai,3.45,3.5,1.91,0_1,1_2,2,Away Red,8/17/16 6:00 PM,Lithuania A LIGA
,FK Novaci,1.39,4.02,7.48,1_1,2_1,1,Away Red,8/17/16 6:00 PM,Macedonia Cup
,FK Gorno,4.95,3.66,1.6,0_2,1_3,2,,8/17/16 6:00 PM,Macedonia Cup
,Neftekhimik,2.84,2.99,2.42,0_0,1_0,1,,8/17/16 6:00 PM,Russian 1st Division
,Arina,9.54,5,1.26,0_0,0_3,2,,8/17/16 5:45 PM,"Norway Toppserien, Women"
,St Pauli U19,4,4.05,1.53,1_1,1_2,2,,8/17/16 5:00 PM,Germany Amateur A-JUN-BL N/N-E
,MK Smarje,6.64,5.1,1.33,0_3,1_5,2,,8/17/16 5:00 PM,Slovenia Cup
,Turnisce,4.05,3.59,1.74,1_0,1_0,1,,8/17/16 5:00 PM,Slovenia Cup
,NK DOB,1.95,3.54,3.28,1_0,1_0,1,,8/17/16 5:00 PM,Slovenia Cup
,NK Jardan,1.79,3.64,3.74,1_0,3_0,1,,8/17/16 5:00 PM,Slovenia Cup
,NK Dravograd,8.56,5.19,1.27,0_2,3_4,2,,8/17/16 5:00 PM,Slovenia Cup
,Nk Ziri,15.14,8.72,1.09,0_4,0_5,2,,8/17/16 5:00 PM,Slovenia Cup
,SD Bogojina,4.06,4.06,1.65,0_4,3_5,2,,8/17/16 5:00 PM,Slovenia Cup
,NK Postojna,6.71,4.85,1.34,0_3,0_8,2,,8/17/16 5:00 PM,Slovenia Cup
,KRKA,1.76,3.72,3.82,1_0,3_0,1,,8/17/16 5:00 PM,Slovenia Cup
,FC Lenart,9.27,5.92,1.21,0_1,0_4,2,,8/17/16 5:00 PM,Slovenia Cup
,ND Beltinci,6.44,4.43,1.39,0_1,0_2,2,,8/17/16 5:00 PM,Slovenia Cup
,Freiburg U19,1.81,3.77,3.56,1_0,3_2,1,,8/17/16 4:00 PM,Germany Amateur A-JUN-BL S/S-W
,FK Tyumen,3.28,3.02,2.15,0_2,1_2,2,,8/17/16 4:00 PM,Russian 1st Division
,Yenisey KR,2.45,2.97,2.81,0_1,0_4,2,,8/17/16 4:00 PM,Russian 1st Division
,Barnet,2.51,3.07,2.66,0_1,1_1,3,,8/16/16 10:00 PM,England League Two
,Pribramu U19,1.35,4.95,6.25,2_0,4_0,1,,8/19/16 4:00 PM,Czech Republic U19 1st Division
,Dinamo Kiev Youth,1.08,7.98,20.08,3_0,5_0,1,Away Red,8/19/16 4:00 PM,Ukraine U21 League
,Qizliqum,1.29,4.86,8.27,2_0,4_1,1,Home Red,8/18/16 5:30 PM,Uzbekistan
,Skive Jk,3.65,3.34,1.9,1_3,1_4,2,,8/18/16 7:00 PM,Denmark 1st Division
,Dinamo Tbilisi ,3.63,3.15,2.14,0_1,0_3,2,,8/18/16 7:00 PM,UEFA EUROPA League Q
,Persela Lamongan,2.88,3.34,2.21,0_1,0_1,2,,8/19/16 5:00 PM,Indonesia Super League
,Adanaspor U21,4.92,4.35,1.5,0_0,1_0,1,Away Red,8/19/16 5:00 PM,Turkey Amateur U21 Super Lig
,Denizlispor,1.47,3.82,4.84,0_0,2_3,2,,8/19/16 5:00 PM,Turkey Amateur U21 Super Lig
,Bunyodkor,1.2,5.6,11.2,2_1,2_1,1,,8/19/16 5:00 PM,Ubzekistan
,Rostov Youth,2.16,3.5,2.83,1_0,2_2,3,,8/19/16 5:30 PM,Russia Youth League
,UF Youth,4.81,4.04,1.55,0_1,0_3,2,,8/19/16 5:30 PM,Russia Youth League
,Loko Kosice,1.75,3.55,4.06,0_0,0_0,3,,8/19/16 5:30 PM,Slovakia 2. Liga Group East
,Zira,1.59,3.43,5.63,2_0,3_1,1,,8/19/16 6:00 PM,Azerbaijan Premeir League
,Slavia Mozyr,2.4,3.06,2.81,0_0,1_0,1,,8/19/16 6:00 PM,Belarus Vysshaya League
,Usti Nad Labem,3.2,3.3,2.06,0_3,0_2,2,Home Red,8/19/16 6:00 PM,Czech FNL
,Olimpia Statu,1.86,2.93,2.02,0_0,1_1,3,Home Red,8/19/16 6:00 PM,Romania Liga II
,Illichivec Mariupol,1.39,4.16,7.19,1_0,3_1,1,,8/19/16 6:00 PM,Ukraine Persha Liga
,Naftovyk,2.1,3.08,3.34,1_1,3_1,1,,8/19/16 6:00 PM,Ukraine Persha Liga
,FC Ternopil,7.25,4.04,1.4,0_1,0_2,2,,8/19/16 6:00 PM,Ukraine Persha Liga
,Bukovina Chernovtsy,4.21,3.3,1.8,0_1,0_1,2,,8/19/16 6:00 PM,Ukraine Persha Liga
,Cherkaskyi Dnipro,1.47,3.65,6.85,1_0,2_2,3,,8/19/16 6:00 PM,Ukraine Persha Liga
,Nasaf Qarshi,1.84,3.37,3.87,0_1,2_1,2,Away Red,8/19/16 6:00 PM,Ukraine Persha Liga
,Manchester United,1.58,3.91,5.81,1_0,2_0,1,,8/19/16 10:00 PM,English Premier League
,Fjardabyggd,3.28,3.39,2,0_0,0_0,3,,8/19/16 10:00 PM,Iceland 1 Deild
,Wexford Youth,6.75,4.2,1.4,1_0,2_1,1,,8/19/16 10:00 PM,Ireland Fai Cup
,Deportivo LC,1.98,3.22,4.08,0_0,2_1,1,,8/19/16 11:00 PM,Spain Primera Divison
,Almeria,2.04,3.13,3.71,0_0,1_1,3,,8/19/16 11:00 PM,Spain Secunda Division
,Neman Grodno,2.92,3.08,2.31,0_2,0_4,2,,8/19/16 6:30 PM,Belarus Vysshaya League
,HNK Gorica,1.65,3.56,4.69,0_2,2_2,2,,8/19/16 6:30 PM,Croatia 2. HNL
,ESPA,3.02,3.74,2,1_1,1_2,2,,8/19/16 6:30 PM,Finland Kakken Lansi
,Rigas Futbola Skola,3.22,3.22,2.09,0_1,1_1,3,,8/19/16 6:30 PM,Latvia - Virsliga
,Brazil Women,1.68,3.37,4.79,0_1,1_2,2,,8/19/16 7:00 PM,Olympic Competition 3rd Place
,Fc Stadlau,1.94,3.52,3.32,1_0,3_0,1,,8/19/16 7:00 PM,Austria Amateur Reginalliga East 
,Loko Gorna Ory,2.45,2.97,2.81,0_0,0_2,2,,8/19/16 7:00 PM,Bulgaria A PFG
,Nordsjalland,3.53,3.37,2.08,0_1,1_1,3,,8/19/16 7:00 PM,Denmark Superligaen
,Odder IGF,3.3,3.66,1.91,1_0,1_1,3,,8/19/16 7:00 PM,Denmark 2nd Div Pulje 3
,Infonet,1.23,5.63,9.22,0_0,1_0,1,,8/19/16 7:00 PM,Estonia Premium Liiga
,Trans Narva,1.3,5.15,7.29,1_1,3_1,1,Home Red,8/19/16 7:00 PM,Estonia Premium Liiga
,Sillamae Kalev,6.12,4.23,1.43,1_4,1_4,2,Home Red,8/19/16 7:00 PM,Estonia Premium Liiga
